DepartmentId|Name|Type|FloorWard|HeadDoctorId|LastUpdated
DEPT-ICU|ICU|Critical|Floor 3 - Critical Care Complex|DR-001|2026-09-06 10:44:11
DEPT-GEN|General|Medical|Floor 1 - General Medicine Ward|DR-020|2026-09-06 10:44:11
DEPT-CARD|Cardiology|Medical|Floor 2 - Cardiac Care Wing|DR-004|2026-09-06 10:44:11
DEPT-CTVS|Cardiothoracic Surgery|Surgical|Floor 4 - OT Complex|DR-006|2026-09-06 10:44:11
DEPT-NEURO|Neurology|Medical|Floor 5 - Neurosciences Wing|DR-008|2026-09-06 10:44:11
DEPT-NSURG|Neurosurgery|Surgical|Floor 4 - OT Complex|DR-010|2026-09-06 10:44:11
DEPT-ORTHO|Orthopaedics|Surgical|Floor 2 - Orthopaedic Wing|DR-012|2026-09-06 10:44:11
DEPT-TRAUMA|Trauma & Emergency Surgery|Surgical|Ground - Emergency Block|DR-014|2026-09-06 10:44:11
DEPT-GSURG|General Surgery|Surgical|Floor 3 - Surgical Wing|DR-016|2026-09-06 10:44:11
DEPT-NEPHRO|Nephrology|Medical|Floor 5 - Renal Unit|DR-018|2026-09-06 10:44:11
DEPT-PULMO|Pulmonology|Medical|Floor 3 - Respiratory Unit|DR-019|2026-09-06 10:44:11
DEPT-ANAES|Anaesthesiology|Surgical Support|Floor 4 - OT Complex|DR-022|2026-09-06 10:44:11
